"filename", "language", "C++", "comment", "blank", "total"
"d:\Vscode\.vscode\abc\454\a.cpp", "C++", 16, 0, 0, 16
"d:\Vscode\.vscode\abc\454\b.cpp", "C++", 37, 0, 1, 38
"d:\Vscode\.vscode\abc\454\c.cpp", "C++", 38, 0, 0, 38
"d:\Vscode\.vscode\abc\454\d.cpp", "C++", 57, 2, 1, 60
"d:\Vscode\.vscode\abc\454\e.cpp", "C++", 73, 3, 0, 76
"d:\Vscode\.vscode\abc\454\f.cpp", "C++", 13, 1, 1, 15
"d:\Vscode\.vscode\abc\455\a.cpp", "C++", 19, 2, 0, 21
"d:\Vscode\.vscode\abc\455\b.cpp", "C++", 39, 1, 3, 43
"d:\Vscode\.vscode\abc\455\c.cpp", "C++", 35, 1, 2, 38
"d:\Vscode\.vscode\abc\455\d.cpp", "C++", 52, 5, 2, 59
"d:\Vscode\.vscode\abc\455\e.cpp", "C++", 59, 5, 0, 64
"d:\Vscode\.vscode\abc\455\f.cpp", "C++", 237, 3, 6, 246
"d:\Vscode\.vscode\banzi\shujujiegou\xianduanshu.cpp", "C++", 216, 1, 0, 217
"d:\Vscode\.vscode\banzi\shulun\jixinghanshu.cpp", "C++", 0, 15, 4, 19
"d:\Vscode\.vscode\banzi\shulun\xianxingshai.cpp", "C++", 26, 0, 1, 27
"d:\Vscode\.vscode\cf_\banshua\2000-2300\600D.cpp", "C++", 44, 5, 0, 49
"d:\Vscode\.vscode\cf_\banshua\2000-2300\600D1.cpp", "C++", 59, 10, 2, 71
"d:\Vscode\.vscode\cf_\edu\188\a.cpp", "C++", 24, 1, 2, 27
"d:\Vscode\.vscode\cf_\edu\188\b.cpp", "C++", 38, 0, 0, 38
"d:\Vscode\.vscode\cf_\edu\188\c.cpp", "C++", 28, 3, 1, 32
"d:\Vscode\.vscode\cf_\edu\188\d.cpp", "C++", 58, 2, 3, 63
"d:\Vscode\.vscode\luogu\za\P3362.cpp", "C++", 72, 1, 0, 73
"d:\Vscode\.vscode\niuke\5_1party\1\a.cpp", "C++", 0, 0, 1, 1
"Total", "-", 1240, 61, 30, 1331
