"filename", "language", "C++", "HTML", "comment", "blank", "total"
"d:\Vscode\.vscode\111\1.html", "HTML", 0, -27, 0, -3, -30
"d:\Vscode\.vscode\111\2.html", "HTML", 0, -26, 0, -3, -29
"d:\Vscode\.vscode\111\4.html", "HTML", 0, -28, 0, -1, -29
"d:\Vscode\.vscode\111\5.html", "HTML", 0, -8, 0, -5, -13
"d:\Vscode\.vscode\111\a.cpp", "C++", 0, 0, -18, 0, -18
"d:\Vscode\.vscode\111\introduction.html", "HTML", 0, -39, 0, -3, -42
"d:\Vscode\.vscode\111\kebiao.html", "HTML", 0, -116, 0, -13, -129
"d:\Vscode\.vscode\111\yonghuzhuce.html", "HTML", 0, -35, 0, -7, -42
"d:\Vscode\.vscode\abc\456\a.cpp", "C++", 21, 0, 1, 0, 22
"d:\Vscode\.vscode\abc\456\b.cpp", "C++", 31, 0, 2, 1, 34
"d:\Vscode\.vscode\abc\456\c.cpp", "C++", 48, 0, 5, 0, 53
"d:\Vscode\.vscode\abc\456\c2.cpp", "C++", 34, 0, 2, 0, 36
"d:\Vscode\.vscode\abc\456\d.cpp", "C++", 32, 0, 4, 1, 37
"d:\Vscode\.vscode\abc\456\e.cpp", "C++", 90, 0, 7, 2, 99
"d:\Vscode\.vscode\abc\456\f.cpp", "C++", 52, 0, 8, 1, 61
"d:\Vscode\.vscode\banzi\shujujiegou\shuzhuangshuzu.cpp", "C++", 27, 0, 0, 0, 27
"d:\Vscode\.vscode\banzi\shulun\qumolei.cpp", "C++", 10, 0, 0, 1, 11
"d:\Vscode\.vscode\banzi\shulun\zhiyinshu.cpp", "C++", 13, 0, 1, 0, 14
"d:\Vscode\.vscode\banzi\tulun\zuixiaoshengchengshu\kruskal.cpp", "C++", 60, 0, 2, 2, 64
"d:\Vscode\.vscode\cf_\banshua\1700-1900\1921F.cpp", "C++", 60, 0, 10, 3, 73
"d:\Vscode\.vscode\cf_\edu\188\e.cpp", "C++", 74, 0, 4, 5, 83
"d:\Vscode\.vscode\hangdian\chunji\7\1.cpp", "C++", 132, 0, 2, 3, 137
"d:\Vscode\.vscode\hangdian\chunji\7\11.cpp", "C++", 81, 0, 4, 1, 86
"d:\Vscode\.vscode\hangdian\chunji\7\2.cpp", "C++", 48, 0, 0, 2, 50
"d:\Vscode\.vscode\hangdian\chunji\7\3.cpp", "C++", 14, 0, 1, 1, 16
"d:\Vscode\.vscode\hangdian\chunji\7\4.cpp", "C++", 50, 0, 0, 0, 50
"d:\Vscode\.vscode\hangdian\chunji\7\5.cpp", "C++", 55, 0, 5, 2, 62
"d:\Vscode\.vscode\hangdian\chunji\7\6.cpp", "C++", 56, 0, 3, 3, 62
"d:\Vscode\.vscode\hangdian\chunji\7\8.cpp", "C++", 45, 0, 0, 0, 45
"d:\Vscode\.vscode\luogu\za\P16241.cpp", "C++", 21, 0, 1, 1, 23
"d:\Vscode\.vscode\luogu\za\P3362.cpp", "C++", 1, 0, 0, 0, 1
"d:\Vscode\.vscode\niuke\5_1party\1\a.cpp", "C++", 18, 0, 2, 0, 20
"d:\Vscode\.vscode\qoj\2023shandong\a.cpp", "C++", 37, 0, 0, 0, 37
"d:\Vscode\.vscode\qoj\2023shandong\b.cpp", "C++", 12, 0, 2, 1, 15
"d:\Vscode\.vscode\qoj\2023shandong\d.cpp", "C++", 76, 0, 12, 1, 89
"d:\Vscode\.vscode\qoj\2023shandong\g.cpp", "C++", 40, 0, 0, 1, 41
"d:\Vscode\.vscode\qoj\2023shandong\i.cpp", "C++", 51, 0, 1, 0, 52
"d:\Vscode\.vscode\qoj\2023shandong\l.cpp", "C++", 86, 0, 10, 1, 97
"d:\Vscode\.vscode\qoj\2026xi'an\J.cpp", "C++", 59, 0, 0, 4, 63
"d:\Vscode\.vscode\qoj\2026xi'an\L.cpp", "C++", 32, 0, 1, 3, 36
"d:\Vscode\.vscode\qoj\2026xi'an\a.cpp", "C++", 73, 0, 6, 6, 85
"d:\Vscode\.vscode\qoj\2026xi'an\b.cpp", "C++", 163, 0, 6, 3, 172
"d:\Vscode\.vscode\qoj\2026xi'an\b1.cpp", "C++", 156, 0, 10, 5, 171
"d:\Vscode\.vscode\qoj\2026xi'an\b2.cpp", "C++", 97, 0, 0, 0, 97
"d:\Vscode\.vscode\qoj\2026xi'an\d.cpp", "C++", 48, 0, 1, 0, 49
"d:\Vscode\.vscode\qoj\2026xi'an\e.cpp", "C++", 29, 0, 0, 0, 29
"d:\Vscode\.vscode\sdcpc\2023\l.cpp", "C++", 86, 0, 10, 1, 97
"Total", "-", 2118, -279, 105, 20, 1964
