Date : 2026-08-11 15:57:45
Directory : d:\Vscode\.vscode
Total : 274 files,  15406 codes, 850 comments, 700 blanks, all 16956 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        274 |     15,406 |        850 |        700 |     16,956 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                      |        274 |     15,406 |        850 |        700 |     16,956 |
| abc                                                                    |         25 |        882 |         54 |         44 |        980 |
| abc (Files)                                                            |          3 |       -168 |     -1,946 |       -235 |     -2,349 |
| abc\421                                                                |          2 |         91 |          2 |          3 |         96 |
| abc\453                                                                |          5 |        265 |         11 |         17 |        293 |
| abc\457                                                                |          6 |        288 |         30 |         12 |        330 |
| abc\458                                                                |          5 |        174 |          8 |         12 |        194 |
| abc\467                                                                |          1 |         64 |          3 |          0 |         67 |
| abc\za                                                                 |          3 |        168 |      1,946 |        235 |      2,349 |
| banzi                                                                  |         35 |      1,697 |        141 |        108 |      1,946 |
| banzi\DP                                                               |          1 |         45 |          7 |          0 |         52 |
| banzi\fangfa                                                           |          1 |         68 |          4 |          0 |         72 |
| banzi\jichu                                                            |          3 |         83 |         11 |         14 |        108 |
| banzi\jichu\chafen                                                     |          1 |         42 |          1 |         12 |         55 |
| banzi\jichu\sanfen                                                     |          2 |         41 |         10 |          2 |         53 |
| banzi\jisuanjihe                                                       |          6 |        261 |         19 |          8 |        288 |
| banzi\jisuanjihe\jichu                                                 |          4 |        139 |          1 |          1 |        141 |
| banzi\jisuanjihe\xuanzhanqiake                                         |          1 |          0 |         18 |          5 |         23 |
| banzi\jisuanjihe\zuixiaoyuanfugai                                      |          1 |        122 |          0 |          2 |        124 |
| banzi\shujujiegou                                                      |          2 |         57 |          3 |          2 |         62 |
| banzi\shulun                                                           |          3 |         54 |          0 |          5 |         59 |
| banzi\shushang                                                         |          1 |         75 |          1 |          5 |         81 |
| banzi\shushang\lca                                                     |          1 |         75 |          1 |          5 |         81 |
| banzi\tulun                                                            |          9 |        641 |         48 |         34 |        723 |
| banzi\tulun\qiangliantongfenliang                                      |          2 |        199 |          5 |          8 |        212 |
| banzi\tulun\wangluoliu                                                 |          6 |        384 |         40 |         26 |        450 |
| banzi\tulun\zuiduanlu                                                  |          1 |         58 |          3 |          0 |         61 |
| banzi\xianxingdaishu                                                   |          1 |         -6 |          0 |          0 |         -6 |
| banzi\za                                                               |          8 |        419 |         48 |         40 |        507 |
| banzi\za (Files)                                                       |          1 |         -4 |          0 |         -4 |         -8 |
| banzi\za\gaojingdu                                                     |          1 |        200 |          0 |         35 |        235 |
| banzi\za\haxi                                                          |          2 |         55 |          4 |          7 |         66 |
| banzi\za\i128                                                          |          1 |          0 |         42 |          1 |         43 |
| banzi\za\lisanhua                                                      |          2 |         64 |          2 |          1 |         67 |
| banzi\za\puke                                                          |          1 |        104 |          0 |          0 |        104 |
| cf_                                                                    |         28 |      1,497 |         41 |         51 |      1,589 |
| cf_\banshua                                                            |         19 |        951 |         31 |         36 |      1,018 |
| cf_\banshua\0-1600                                                     |          7 |        311 |          9 |         13 |        333 |
| cf_\banshua\1700-1900                                                  |          9 |        508 |         16 |         16 |        540 |
| cf_\banshua\2000-2300                                                  |          3 |        132 |          6 |          7 |        145 |
| cf_\boyi                                                               |          9 |        546 |         10 |         15 |        571 |
| hangdian                                                               |         49 |      3,179 |        231 |        129 |      3,539 |
| hangdian\chunji                                                        |          8 |        653 |         20 |         19 |        692 |
| hangdian\chunji\10                                                     |          5 |        475 |         10 |         17 |        502 |
| hangdian\chunji\9                                                      |          3 |        178 |         10 |          2 |        190 |
| hangdian\xiaji                                                         |         41 |      2,526 |        211 |        110 |      2,847 |
| hangdian\xiaji\1                                                       |          7 |        378 |         10 |          6 |        394 |
| hangdian\xiaji\2                                                       |          8 |        519 |         22 |         13 |        554 |
| hangdian\xiaji\3                                                       |          7 |        385 |          8 |         11 |        404 |
| hangdian\xiaji\4                                                       |          5 |        283 |          2 |          2 |        287 |
| hangdian\xiaji\5                                                       |          7 |        485 |         59 |         33 |        577 |
| hangdian\xiaji\6                                                       |          7 |        476 |        110 |         45 |        631 |
| luogu                                                                  |         16 |      1,236 |         35 |        191 |      1,462 |
| luogu\lanqiaomoni                                                      |          9 |        392 |         15 |         11 |        418 |
| luogu\lanqiaomoni\2023guosaimoni                                       |          3 |        132 |          6 |          2 |        140 |
| luogu\lanqiaomoni\2026guosaimonio                                      |          6 |        260 |          9 |          9 |        278 |
| luogu\quyusai                                                          |          7 |        844 |         20 |        180 |      1,044 |
| luogu\quyusai\nanning2017                                              |          7 |        844 |         20 |        180 |      1,044 |
| niuke                                                                  |         83 |      4,758 |        210 |        121 |      5,089 |
| niuke\2026shujia                                                       |         34 |      2,452 |        108 |         64 |      2,624 |
| niuke\2026shujia\1                                                     |          6 |        787 |         35 |         22 |        844 |
| niuke\2026shujia\2                                                     |          5 |        217 |         20 |          7 |        244 |
| niuke\2026shujia\3                                                     |          3 |        219 |         19 |          5 |        243 |
| niuke\2026shujia\4                                                     |          5 |        198 |          7 |          8 |        213 |
| niuke\2026shujia\5                                                     |          7 |        622 |         17 |         13 |        652 |
| niuke\2026shujia\6                                                     |          4 |        234 |          4 |          1 |        239 |
| niuke\2026shujia\7                                                     |          4 |        175 |          6 |          8 |        189 |
| niuke\henan2026                                                        |          7 |        349 |         10 |          3 |        362 |
| niuke\henanmengxin2026                                                 |         30 |      1,484 |         50 |         37 |      1,571 |
| niuke\henanmengxin2026\1                                               |          8 |        464 |         10 |          8 |        482 |
| niuke\henanmengxin2026\2                                               |         13 |        663 |         28 |         17 |        708 |
| niuke\henanmengxin2026\3                                               |          9 |        357 |         12 |         12 |        381 |
| niuke\zhousai                                                          |         12 |        473 |         42 |         17 |        532 |
| niuke\zhousai\143                                                      |          6 |        248 |         31 |          6 |        285 |
| niuke\zhousai\153                                                      |          6 |        225 |         11 |         11 |        247 |
| qoj                                                                    |         18 |      1,054 |         97 |         36 |      1,187 |
| qoj\2023shandong                                                       |          3 |        196 |         20 |         10 |        226 |
| qoj\2025shandong                                                       |          5 |        198 |          1 |          5 |        204 |
| qoj\2025wuhan                                                          |          8 |        473 |         68 |         19 |        560 |
| qoj\2026shandong                                                       |          2 |        187 |          8 |          2 |        197 |
| vj                                                                     |         19 |      1,086 |         41 |         19 |      1,146 |
| vj\dp                                                                  |          5 |        182 |          8 |          3 |        193 |
| vj\jisuanjihe                                                          |          9 |        615 |         19 |         16 |        650 |
| vj\jisuanjihe\jichu                                                    |          9 |        615 |         19 |         16 |        650 |
| vj\shulun                                                              |          5 |        289 |         14 |          0 |        303 |
| vj\shulun\1300                                                         |          4 |        224 |         12 |          0 |        236 |
| vj\shulun\1700                                                         |          1 |         65 |          2 |          0 |         67 |
| zatest                                                                 |          1 |         17 |          0 |          1 |         18 |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                               | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Vscode\.vscode\abc\12.cpp                                           | C++      |        -21 |          0 |         -1 |        -22 |
| d:\Vscode\.vscode\abc\13.cpp                                           | C++      |       -147 |        -10 |        -14 |       -171 |
| d:\Vscode\.vscode\abc\421\d.cpp                                        | C++      |         28 |          1 |          3 |         32 |
| d:\Vscode\.vscode\abc\421\e.cpp                                        | C++      |         63 |          1 |          0 |         64 |
| d:\Vscode\.vscode\abc\453\a.cpp                                        | C++      |         27 |          1 |          5 |         33 |
| d:\Vscode\.vscode\abc\453\b.cpp                                        | C++      |         27 |          1 |          5 |         33 |
| d:\Vscode\.vscode\abc\453\c.cpp                                        | C++      |         38 |          2 |          1 |         41 |
| d:\Vscode\.vscode\abc\453\d.cpp                                        | C++      |        100 |          5 |          3 |        108 |
| d:\Vscode\.vscode\abc\453\e.cpp                                        | C++      |         73 |          2 |          3 |         78 |
| d:\Vscode\.vscode\abc\457\a.cpp                                        | C++      |         23 |          1 |          0 |         24 |
| d:\Vscode\.vscode\abc\457\b.cpp                                        | C++      |         29 |          8 |          1 |         38 |
| d:\Vscode\.vscode\abc\457\c.cpp                                        | C++      |         56 |          7 |         10 |         73 |
| d:\Vscode\.vscode\abc\457\d.cpp                                        | C++      |         61 |          2 |          0 |         63 |
| d:\Vscode\.vscode\abc\457\e.cpp                                        | C++      |         81 |         11 |          1 |         93 |
| d:\Vscode\.vscode\abc\457\g.cpp                                        | C++      |         38 |          1 |          0 |         39 |
| d:\Vscode\.vscode\abc\458\a.cpp                                        | C++      |         20 |          1 |          0 |         21 |
| d:\Vscode\.vscode\abc\458\b.cpp                                        | C++      |         33 |          1 |          3 |         37 |
| d:\Vscode\.vscode\abc\458\c.cpp                                        | C++      |         25 |          2 |          3 |         30 |
| d:\Vscode\.vscode\abc\458\d.cpp                                        | C++      |         45 |          2 |          3 |         50 |
| d:\Vscode\.vscode\abc\458\e.cpp                                        | C++      |         51 |          2 |          3 |         56 |
| d:\Vscode\.vscode\abc\467\d.cpp                                        | C++      |         64 |          3 |          0 |         67 |
| d:\Vscode\.vscode\abc\abc.cpp                                          | C++      |          0 |     -1,936 |       -220 |     -2,156 |
| d:\Vscode\.vscode\abc\za\12.cpp                                        | C++      |         21 |          0 |          1 |         22 |
| d:\Vscode\.vscode\abc\za\13.cpp                                        | C++      |        147 |         10 |         14 |        171 |
| d:\Vscode\.vscode\abc\za\abc.cpp                                       | C++      |          0 |      1,936 |        220 |      2,156 |
