"filename", "language", "C++", "JSON with Comments", "JSON", "comment", "blank", "total"
"d:\Vscode\.vscode\DP\Insertion DP.cpp", "C++", 42, 0, 0, 1, 3, 46
"d:\Vscode\.vscode\DP\beibao\fenzubeibao\P1757.cpp", "C++", 37, 0, 0, 1, 0, 38
"d:\Vscode\.vscode\DP\shuwei_DP\62.cpp", "C++", 60, 0, 0, 3, 0, 63
"d:\Vscode\.vscode\DP\shuwei_DP\P2602 [ZJOI2010] .cpp", "C++", 46, 0, 0, 1, 3, 50
"d:\Vscode\.vscode\USTCPC\a.cpp", "C++", 13, 0, 0, 0, 2, 15
"d:\Vscode\.vscode\USTCPC\c.cpp", "C++", 49, 0, 0, 1, 2, 52
"d:\Vscode\.vscode\USTCPC\c_1.cpp", "C++", 82, 0, 0, 1, 2, 85
"d:\Vscode\.vscode\USTCPC\f.cpp", "C++", 58, 0, 0, 1, 1, 60
"d:\Vscode\.vscode\abc\367\f.cpp", "C++", 51, 0, 0, 1, 3, 55
"d:\Vscode\.vscode\abc\405\b.cpp", "C++", 28, 0, 0, 0, 0, 28
"d:\Vscode\.vscode\abc\405\c.cpp", "C++", 66, 0, 0, 90, 15, 171
"d:\Vscode\.vscode\abc\405\d.cpp", "C++", 10, 0, 0, 0, 1, 11
"d:\Vscode\.vscode\abc\405\e.cpp", "C++", 50, 0, 0, 0, 1, 51
"d:\Vscode\.vscode\abc\405\f.cpp", "C++", 0, 0, 0, 69, 4, 73
"d:\Vscode\.vscode\abc\406\a.cpp", "C++", 28, 0, 0, 0, 0, 28
"d:\Vscode\.vscode\abc\406\b.cpp", "C++", 33, 0, 0, 2, 1, 36
"d:\Vscode\.vscode\abc\406\c.cpp", "C++", 68, 0, 0, 7, 7, 82
"d:\Vscode\.vscode\abc\406\d.cpp", "C++", 78, 0, 0, 3, 6, 87
"d:\Vscode\.vscode\abc\406\e.cpp", "C++", 0, 0, 0, 0, 1, 1
"d:\Vscode\.vscode\abc\406\f.cpp", "C++", 99, 0, 0, 8, 5, 112
"d:\Vscode\.vscode\abc\407\a.cpp", "C++", 21, 0, 0, 0, 0, 21
"d:\Vscode\.vscode\abc\407\b.cpp", "C++", 41, 0, 0, 0, 0, 41
"d:\Vscode\.vscode\abc\407\c.cpp", "C++", 21, 0, 0, 1, 1, 23
"d:\Vscode\.vscode\abc\407\d.cpp", "C++", 47, 0, 0, 0, 2, 49
"d:\Vscode\.vscode\abc\407\e.cpp", "C++", 27, 0, 0, 0, 1, 28
"d:\Vscode\.vscode\abc\407\f.cpp", "C++", 22, 0, 0, 0, 2, 24
