Date : 2026-08-11 15:57:45
Directory : d:\Vscode\.vscode
Total : 832 files,  43539 codes, 32537 comments, 4453 blanks, all 80529 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        828 |     43,389 |     32,534 |      4,453 |     80,376 |
| JSON with Comments |          3 |        115 |          3 |          0 |        118 |
| JSON               |          1 |         35 |          0 |          0 |         35 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |        832 |     43,539 |     32,537 |      4,453 |     80,529 |
| DP                                                                         |          4 |        185 |          6 |          6 |        197 |
| DP (Files)                                                                 |          1 |         42 |          1 |          3 |         46 |
| DP\beibao                                                                  |          1 |         37 |          1 |          0 |         38 |
| DP\beibao\fenzubeibao                                                      |          1 |         37 |          1 |          0 |         38 |
| DP\shuwei_DP                                                               |          2 |        106 |          4 |          3 |        113 |
| USTCPC                                                                     |          4 |        202 |          3 |          7 |        212 |
| abc                                                                        |        148 |      6,318 |      2,512 |        534 |      9,364 |
| abc\367                                                                    |          1 |         51 |          1 |          3 |         55 |
| abc\405                                                                    |          5 |        154 |        159 |         21 |        334 |
| abc\406                                                                    |          6 |        306 |         20 |         20 |        346 |
| abc\407                                                                    |          6 |        179 |          1 |          6 |        186 |
| abc\408                                                                    |          5 |        172 |          0 |         10 |        182 |
| abc\409                                                                    |          5 |        160 |          0 |          3 |        163 |
| abc\421                                                                    |          2 |         91 |          2 |          3 |         96 |
| abc\430                                                                    |          5 |        180 |         78 |         14 |        272 |
| abc\432                                                                    |          7 |        308 |         11 |          9 |        328 |
| abc\433                                                                    |          6 |        282 |         13 |         12 |        307 |
| abc\434                                                                    |          6 |        290 |          8 |         15 |        313 |
| abc\435                                                                    |          6 |        213 |          4 |         11 |        228 |
| abc\437                                                                    |          6 |        306 |          4 |         22 |        332 |
| abc\438                                                                    |          6 |        222 |          6 |         12 |        240 |
| abc\440                                                                    |          8 |        330 |         20 |         21 |        371 |
| abc\440 (Files)                                                            |          4 |        166 |          9 |          6 |        181 |
| abc\440\dpai                                                               |          4 |        164 |         11 |         15 |        190 |
| abc\442                                                                    |          7 |        323 |         31 |         15 |        369 |
| abc\443                                                                    |          4 |        135 |          4 |          3 |        142 |
| abc\448                                                                    |          4 |        159 |          6 |          5 |        170 |
| abc\452                                                                    |         10 |        371 |         35 |         21 |        427 |
| abc\452 (Files)                                                            |          5 |        187 |         19 |         12 |        218 |
| abc\452\b                                                                  |          5 |        184 |         16 |          9 |        209 |
| abc\453                                                                    |          5 |        265 |         11 |         17 |        293 |
| abc\454                                                                    |          6 |        234 |          6 |          3 |        243 |
| abc\455                                                                    |          6 |        441 |         17 |         13 |        471 |
| abc\456                                                                    |          7 |        308 |         29 |          5 |        342 |
| abc\457                                                                    |          6 |        288 |         30 |         12 |        330 |
| abc\458                                                                    |          5 |        174 |          8 |         12 |        194 |
| abc\467                                                                    |          1 |         64 |          3 |          0 |         67 |
| abc\tarining                                                               |          4 |        144 |         59 |         11 |        214 |
| abc\za                                                                     |          3 |        168 |      1,946 |        235 |      2,349 |
| awc                                                                        |          5 |        189 |          1 |          9 |        199 |
| awc\036                                                                    |          5 |        189 |          1 |          9 |        199 |
| banzi                                                                      |         45 |      2,369 |        166 |        129 |      2,664 |
| banzi\DP                                                                   |          1 |         45 |          7 |          0 |         52 |
| banzi\fangfa                                                               |          1 |         68 |          4 |          0 |         72 |
| banzi\jichu                                                                |          3 |         83 |         11 |         14 |        108 |
| banzi\jichu\chafen                                                         |          1 |         42 |          1 |         12 |         55 |
| banzi\jichu\sanfen                                                         |          2 |         41 |         10 |          2 |         53 |
| banzi\jisuanjihe                                                           |          7 |        333 |         21 |          9 |        363 |
| banzi\jisuanjihe\jichu                                                     |          4 |        139 |          1 |          1 |        141 |
| banzi\jisuanjihe\tubao                                                     |          1 |         72 |          2 |          1 |         75 |
| banzi\jisuanjihe\xuanzhanqiake                                             |          1 |          0 |         18 |          5 |         23 |
| banzi\jisuanjihe\zuixiaoyuanfugai                                          |          1 |        122 |          0 |          2 |        124 |
| banzi\shujujiegou                                                          |          5 |        372 |          4 |          6 |        382 |
| banzi\shulun                                                               |          7 |        161 |         16 |         12 |        189 |
| banzi\shushang                                                             |          1 |         75 |          1 |          5 |         81 |
| banzi\shushang\lca                                                         |          1 |         75 |          1 |          5 |         81 |
| banzi\tulun                                                                |         12 |        792 |         54 |         38 |        884 |
| banzi\tulun\qiangliantongfenliang                                          |          2 |        199 |          5 |          8 |        212 |
| banzi\tulun\wangluoliu                                                     |          6 |        384 |         40 |         26 |        450 |
| banzi\tulun\zuiduanlu                                                      |          3 |        149 |          7 |          2 |        158 |
| banzi\tulun\zuixiaoshengchengshu                                           |          1 |         60 |          2 |          2 |         64 |
| banzi\xianxingdaishu                                                       |          1 |         17 |          0 |          1 |         18 |
| banzi\za                                                                   |          7 |        423 |         48 |         44 |        515 |
| banzi\za\gaojingdu                                                         |          1 |        200 |          0 |         35 |        235 |
| banzi\za\haxi                                                              |          2 |         55 |          4 |          7 |         66 |
